"FL_DATE","OP_CARRIER","OP_CARRIER_FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","CRS_ARR_TIME"
"2009-01-01","XE",2980,"IAH","TYS",1315,1312,-3,1617
"2009-01-01","YV",2637,"CLT","BHM",2230,2315,45,2255
"2009-01-01","OO",4490,"MCI","ATL",1520,1523,3,1825
"2009-01-01","OO",4665,"SLC","ACV",1115,1112,-3,1210
"2009-01-01","OO",4878,"SLC","BTM",1059,1053,-6,1220
"2009-01-01","OO",5551,"SFO","SMF",727,730,3,812
"2009-01-01","OO",6334,"LAX","SAN",2240,2247,7,2330
"2009-01-01","OO",7784,"SLC","SUN",945,941,-4,1103
"2009-01-01","OO",7788,"SLC","SUN",1125,1120,-5,1243
"2009-01-01","OO",7790,"SLC","SUN",1332,1330,-2,1446
"2009-01-01","OO",7792,"SLC","SUN",1500,1453,-7,1614
"2009-01-01","OO",7794,"SLC","SUN",1715,1710,-5,1829
"2009-01-01","OO",7828,"SLC","SUN",1050,1045,-5,1205
"2009-01-01","UA",473,"ORD","SNA",1959,1957,-2,2230
"2009-01-01","UA",1164,"SFO","SAN",2221,2243,22,2349
"2009-01-01","UA",1227,"DEN","SAN",2124,2136,12,2249
"2009-01-01","US",532,"LAS","SAN",2142,2202,20,2245
"2009-01-01","US",57,"PHX","MSP",945,944,-1,1349
"2009-01-01","WN",1935,"MDW","OMA",1835,1831,-4,2005
"2009-01-01","WN",1250,"OAK","SAN",2040,2100,20,2205
"2009-01-01","WN",1849,"SJC","SAN",1615,1615,0,1730
"2009-01-01","WN",3965,"SMF","SAN",2120,2119,-1,2245
"2009-01-01","WN",1427,"TPA","ISP",1935,1934,-1,2210
"2009-01-01","F9",563,"DEN","SAN",2130,2135,5,2252
"2009-01-01","F9",444,"DEN","PHL",1645,1700,15,2215
"2009-01-01","FL",53,"SJU","BWI",1620,1631,11,1905
"2009-01-01","MQ",3189,"SJC","SNA",630,628,-2,755
"2009-01-01","MQ",3627,"DFW","CRP",1645,1640,-5,1805
"2009-01-01","NW",243,"FLL","DTW",1326,1324,-2,1634
"2009-01-01","9E",2149,"HLN","MSP",820,827,7,1152
"2009-01-01","9E",2223,"TLH","MEM",1723,1718,-5,1800
"2009-01-01","9E",2418,"MSP","GFK",905,902,-3,1029
"2009-01-01","9E",2579,"DTW","GRB",1922,1923,1,1948
"2009-01-01","9E",2607,"MEM","PFN",1435,1430,-5,1559
"2009-01-01","AA",359,"DFW","SNA",745,745,0,900
"2009-01-01","AA",533,"DFW","SAN",2210,2240,30,2320
"2009-01-01","AA",2079,"ORD","SAN",810,810,0,1035
"2009-01-01","AS",344,"SEA","OAK",1220,1230,10,1425
"2009-01-01","B6",99,"JFK","OAK",925,940,15,1308
"2009-01-02","9E",2149,"HLN","MSP",820,1039,139,1152
"2009-01-02","9E",2632,"MEM","PHL",1400,1400,0,1737
"2009-01-02","9E",2825,"IDA","MSP",805,818,13,1152
"2009-01-02","AA",751,"LGA","DFW",1329,1325,-4,1649
"2009-01-02","AA",2396,"EGE","JFK",835,1529,414,1455
"2009-01-02","AS",561,"LAX","PDX",700,646,-14,924
"2009-01-02","B6",434,"MCO","BOS",715,822,67,1004
"2009-01-02","DL",607,"JFK","LAX",1115,1114,-1,1445
"2009-01-02","DL",627,"JFK","SEA",820,820,0,1156
"2009-01-02","DL",1828,"TPA","JFK",1200,1202,2,1439
"2009-01-02","EV",5114,"AGS","ATL",1632,1654,22,1728
"2009-01-02","FL",687,"ATL","ICT",2100,2146,46,2217
"2009-01-02","MQ",3962,"ORD","LIT",2000,1959,-1,2155
"2009-01-02","NW",168,"SEA","MSP",1750,1800,10,2255
"2009-01-02","OH",6686,"JAX","LGA",1910,1905,-5,2137
"2009-01-02","OO",4446,"SLC","JAC",1715,1731,16,1825
"2009-01-02","OO",4462,"SLC","MSO",1500,1457,-3,1633
"2009-01-02","OO",4548,"CLE","SLC",1632,1634,2,1854
"2009-01-02","OO",4671,"SLC","BUR",837,835,-2,943
"2009-01-02","OO",4878,"SLC","BTM",1059,1052,-7,1220
"2009-01-02","OO",5518,"LAX","SBP",1920,1918,-2,2017
"2009-01-02","OO",6304,"DEN","BIL",1456,1455,-1,1623
"2009-01-02","OO",6376,"SFO","BUR",721,718,-3,833
"2009-01-02","OO",6725,"DEN","PSC",2130,2155,25,2302
"2009-01-02","OO",7783,"SLC","SUN",805,757,-8,922
"2009-01-02","OO",7784,"SLC","SUN",945,942,-3,1103
"2009-01-02","OO",7788,"SLC","SUN",1125,1124,-1,1243
"2009-01-02","OO",7790,"SLC","SUN",1332,1345,13,1446
"2009-01-02","OO",7792,"SLC","SUN",1500,1456,-4,1614
"2009-01-02","OO",7828,"SLC","SUN",1050,1048,-2,1205
"2009-01-02","US",1701,"CLT","SFO",735,814,39,1018
"2009-01-02","WN",1246,"LAS","BUR",635,632,-3,740
"2009-01-02","WN",3498,"OAK","BUR",605,939,214,715
"2009-01-02","WN",749,"PHX","BUR",705,713,8,730
"2009-01-02","WN",1029,"SMF","BUR",805,1015,130,915
"2009-01-02","XE",2573,"BNA","EWR",935,950,15,1252
"2009-01-02","YV",2610,"CLT","EWR",1212,1255,43,1358
"2009-01-02","YV",2773,"PHX","BUR",831,827,-4,903
"2009-01-03","WN",3958,"ALB","MDW",1720,1804,44,1845
"2009-01-03","WN",3810,"BWI","BHM",755,753,-2,905
"2009-01-03","WN",2588,"DAL","BHM",750,751,1,920
"2009-01-03","WN",153,"LAS","LAX",1050,1117,27,1200
"2009-01-03","WN",3124,"MCO","BHM",735,751,16,810
"2009-01-03","WN",936,"MSY","BHM",630,629,-1,730
"2009-01-03","WN",1674,"PDX","SJC",1535,1546,11,1720
"2009-01-03","WN",2536,"PHX","SEA",1500,1512,12,1715
"2009-01-03","WN",79,"TPA","BHM",740,742,2,805
"2009-01-03","XE",2111,"EWR","AVL",720,721,1,929
"2009-01-03","XE",2582,"IAH","CHS",1940,1934,-6,2254
"2009-01-03","XE",2603,"EWR","BHM",910,907,-3,1105
"2009-01-03","XE",2724,"IAH","PNS",715,732,17,839
"2009-01-03","XE",3040,"IAH","BHM",742,748,6,915
"2009-01-03","YV",7050,"DEN","CPR",1511,1531,20,1633
"2009-01-03","YV",7201,"IAD","ATL",831,828,-3,1030
"2009-01-03","YV",7100,"IAD","RDU",829,840,11,941
"2009-01-03","YV",7188,"ORD","CAE",1820,1825,5,2114
"2009-01-03","OH",6306,"BOS","RDU",700,650,-10,922
"2009-01-03","OH",6339,"CVG","BHM",915,915,0,949
"2009-01-03","OH",6659,"LGA","RDU",630,630,0,824
"2009-01-03","OH",6821,"JFK","IAH",1920,2230,190,2245
"2009-01-03","OO",4728,"SLC","MFR",1115,1150,35,1215
"2009-01-03","OO",4893,"SLC","SJC",836,1218,222,940
"2009-01-03","OO",4899,"SLC","SJC",2100,2158,58,2204
"2009-01-03","OO",6012,"ORD","BHM",639,748,69,827
"2009-01-03","OO",6147,"ORD","MTJ",815,910,55,1009
"2009-01-03","OO",6371,"ORD","ASE",1030,1032,2,1230
"2009-01-03","OO",6710,"LAX","ASE",659,858,119,1005
"2009-01-03","OO",6720,"DEN","XNA",2130,2128,-2,12
"2009-01-03","OO",6816,"ORD","ASE",826,902,36,1026
"2009-01-03","OO",6821,"SFO","ASE",955,1110,75,1313
"2009-01-03","OO",6844,"ORD","ASE",1155,1155,0,1355
"2009-01-03","UA",187,"IAD","SFO",700,656,-4,1006
"2009-01-03","UA",478,"SFO","DFW",1032,1028,-4,1559
"2009-01-03","UA",1621,"LAX","MSY",1840,1845,5,17
"2009-01-03","US",926,"FLL","CLT",625,709,44,828
"2009-01-03","EV",5088,"ATL","AVL",845,857,12,943
"2009-01-03","EV",5159,"SAT","ATL",1604,1837,153,1925
"2009-01-03","EV",5509,"CVG","GSP",1055,1258,123,1210
"2009-01-03","FL",429,"IND","ATL",1210,1209,-1,1341
"2009-01-03","FL",361,"LGA","ATL",1128,1128,0,1402
"2009-01-03","FL",710,"SRQ","DTW",1112,1256,104,1349
"2009-01-03","HA",25,"PDX","HNL",850,1211,201,1245
"2009-01-03","MQ",3451,"DFW","CMI",1850,1850,0,2045
"2009-01-03","MQ",4645,"BDL","RDU",635,703,28,830
"2009-01-03","NW",1405,"MSP","BUF",1855,648,713,2159
"2009-01-03","9E",2432,"DTW","RST",1522,1520,-2,1613
"2009-01-03","9E",2496,"MSP","TUL",1545,1545,0,1752
"2009-01-03","9E",2592,"DTW","BHM",845,850,5,954
"2009-01-03","9E",2919,"DTW","HSV",842,840,-2,938
"2009-01-03","9E",5823,"ATL","HOU",845,843,-2,1011
"2009-01-03","9E",5848,"TLH","ATL",540,544,4,645
"2009-01-03","9E",5849,"MCI","ATL",935,959,24,1233
"2009-01-03","AA",1512,"DFW","BHM",850,848,-2,1025
"2009-01-03","AA",1839,"DFW","SAT",725,717,-8,835
"2009-01-03","AA",2209,"DFW","EGE",930,923,-7,1100
"2009-01-03","AA",2375,"ORD","EGE",835,833,-2,1025
"2009-01-03","AA",2387,"MIA","EGE",910,903,-7,1150
"2009-01-03","AA",2392,"EGE","LGA",1420,1437,17,2025
"2009-01-03","AA",2396,"EGE","JFK",835,1244,249,1455
"2009-01-03","AA",2398,"EGE","MIA",1245,1730,285,1850
"2009-01-03","AA",2413,"OKC","DFW",810,814,4,915
"2009-01-03","AS",151,"OTZ","OME",827,823,-4,913
"2009-01-03","B6",740,"PSE","JFK",600,1130,330,901
"2009-01-03","CO",5,"IAH","MSY",1755,1806,11,1901
"2009-01-03","CO",770,"EWR","MTJ",905,916,11,1223
"2009-01-03","CO",804,"EWR","EGE",835,848,13,1117
"2009-01-03","DL",438,"STX","ATL",1521,1512,-9,1834
"2009-01-03","DL",952,"LAX","ATL",2315,2351,36,621
"2009-01-03","DL",1210,"CVG","LGA",835,1011,96,1030
"2009-01-03","DL",1245,"CVG","EGE",855,846,-9,1014
"2009-01-03","DL",1510,"PDX","ATL",605,617,12,1342
"2009-01-03","DL",1536,"EGE","ATL",1225,1446,141,1732
"2009-01-03","DL",1896,"DEN","ATL",115,113,-2,556
"2009-01-03","DL",1965,"DCA","ATL",1200,1246,46,1357
"2009-01-04","9E",2205,"MEM","PIT",1400,1404,4,1655
"2009-01-04","9E",2256,"MEM","TLH",1930,2057,87,2159
"2009-01-04","9E",2327,"DTW","DAY",1001,1021,20,1104
"2009-01-04","9E",5863,"ATL","TLH",2143,2210,27,2251
"2009-01-04","AA",286,"LIH","LAX",2225,158,213,540
"2009-01-04","AA",1042,"DFW","DAY",940,1016,36,1250
"2009-01-04","AA",2396,"EGE","JFK",835,1012,97,1455
"2009-01-04","AS",60,"JNU","KTN",745,855,70,850
"2009-01-04","AS",7,"EWR","SEA",1815,1810,-5,2127
"2009-01-04","AS",507,"SNA","SEA",1600,1550,-10,1848
"2009-01-04","AS",75,"SEA","JNU",1125,1250,85,1303
"2009-01-04","AS",65,"SEA","KTN",645,654,9,758
"2009-01-04","AS",603,"LAS","SEA",1605,1608,3,1854
"2009-01-04","B6",497,"BOS","SEA",1756,1756,0,2121
"2009-01-04","B6",1118,"FLL","SYR",1910,1932,22,2213
"2009-01-04","CO",1088,"IAH","DTW",1300,1303,3,1647
"2009-01-04","DL",151,"JFK","SEA",1650,1722,32,2031
"2009-01-04","DL",1125,"CVG","SEA",1650,1657,7,1849
"2009-01-04","EV",4942,"ATL","CAE",741,741,0,836
"2009-01-04","EV",5162,"ATL","DAY",740,750,10,912
"2009-01-04","EV",5162,"CMH","DAY",1030,1127,57,1050
"2009-01-04","EV",5402,"ATL","TYS",750,750,0,837
"2009-01-04","EV",5481,"ATL","GPT",2120,2210,50,2143
"2009-01-04","F9",493,"DEN","CAK",1030,1030,0,1518
"2009-01-04","FL",198,"ATL","CAK",1343,1411,28,1517
